m1,m2,m3,m4,m5,m6,m7,value
Shendra-SEZ,Staff Trainee,Manufacturing,30-11-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Sr.Officer,Manufacturing,24-06-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,01-07-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,11-05-15,1-2 Years,Quality,100,1
Shendra-SEZ,Senior Officer,Manufacturing,15-05-15,1-2 Years,Quality,100,1
Shendra-SEZ,Senior Executive,Manufacturing,23-05-16,2-3 Years,Quality,100,1
Shendra-SEZ,Supervisor,Manufacturing,04-04-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,15-03-16,2-3 Years,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,05-02-14,3-6 Months,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,27-07-14,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Executive,Manufacturing,25-09-15,1-2 Years,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,31-03-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-02-14,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,04-03-16,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-02-14,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,04-03-16,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,04-03-16,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,07-07-15,1-2 Years,Global Mfg,100,1
Daman-Kadaiya,Trainee Technician,Manufacturing,31-07-14,6 Months to 1 Year,Global Mfg,100,1
Daman-Kadaiya,Trainee Technician,Manufacturing,31-07-14,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Assistant,Manufacturing,29-09-14,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Senior Executive,Manufacturing,14-07-16,2-3 Years,Quality,100,1
Shendra-SEZ,Sr.Officer,Manufacturing,03-02-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,31-10-15,1-2 Years,Quality,100,1
Shendra-SEZ,Assistant  Manager,Manufacturing,14-01-16,2-3 Years,Quality,100,1
Shendra-SEZ,Junior Executive,Manufacturing,25-03-15,1-2 Years,Quality,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,17-08-15,1-2 Years,Quality,200,1
Daman-Kadaiya,Trainee Technician,Manufacturing,31-07-14,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Officer,Manufacturing,13-01-14,0-3 Months,Quality,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,26-05-14,6 Months to 1 Year,Quality,200,1
Shendra-SEZ,Senior Officer,Manufacturing,02-04-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Executive,Manufacturing,19-02-16,2-3 Years,Quality,200,1
Daman-Kadaiya,Executive,Manufacturing,21-02-14,3-6 Months,Quality,200,1
Shendra-SEZ,Senior Executive,Manufacturing,09-02-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Manager,Manufacturing,16-07-15,1-2 Years,Global Mfg,200,1
Daman-Bhimpore,Jr. Executive,Manufacturing,19-03-15,1-2 Years,Quality,200,1
Daman-Bhimpore,Vice President,Manufacturing,05-02-14,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Manager,Manufacturing,15-05-15,1-2 Years,Quality,200,1
Shendra-SEZ,Senior Executive,Manufacturing,26-09-14,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Executive,Manufacturing,20-02-14,0-3 Months,Global Mfg,200,1
Daman-Kadaiya,Executive,Manufacturing,31-07-14,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,10-12-14,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Assistant Manager,Manufacturing,03-10-15,1-2 Years,Quality,300,1
Shendra-SEZ,Assistant Manager,Manufacturing,07-09-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,12-11-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,17-07-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,29-06-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,05-09-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,09-07-14,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Executive,Manufacturing,27-06-15,1-2 Years,Quality,300,1
Daman-Bhimpore,Senior Executive,Manufacturing,30-01-14,0-3 Months,Global Mfg,300,1
Daman-Bhimpore,Senior Executive,Manufacturing,02-05-16,2-3 Years,Quality,300,1
Daman-Kadaiya,Junior Executive,Manufacturing,02-03-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Executive,Manufacturing,20-02-14,0-3 Months,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,02-08-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,30-04-14,3-6 Months,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,09-01-16,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Assistant,Manufacturing,09-08-14,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Senior Executive,Manufacturing,30-04-15,1-2 Years,Quality,300,1
Shendra-SEZ,EXECUTIVE,Manufacturing,30-05-16,2-3 Years,Quality,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,01-04-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,29-11-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Sr. Executive,Manufacturing,25-07-15,1-2 Years,Quality,300,1
Shendra-SEZ,Officer,Manufacturing,03-01-14,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,30-07-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,17-12-14,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,15-06-15,1-2 Years,Quality,300,1
Shendra-SEZ,Executive,Manufacturing,17-07-14,6 Months to 1 Year,Quality,400,1
Shendra-SEZ,Senior  Assistant,Manufacturing,21-02-15,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,03-11-14,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Trainee Technician,Manufacturing,30-04-14,3-6 Months,Global Mfg,400,1
EOU Tab-Waluj,Manager,Manufacturing,29-02-16,2-3 Years,Quality,400,1
Shendra-SEZ,Executive,Manufacturing,29-12-15,1-2 Years,Quality,400,1
Shendra-SEZ,Executive,Manufacturing,09-07-15,1-2 Years,Quality,400,1
Shendra-SEZ,Junior Executive,Manufacturing,20-08-15,1-2 Years,Quality,400,1
Daman-Bhimpore,Executive,Manufacturing,10-11-14,6 Months to 1 Year,Quality,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,27-03-14,0-3 Months,Quality,400,1
Shendra-SEZ,Senior Manager,Manufacturing,11-07-14,3-6 Months,Quality,400,1
Shendra-SEZ,Senior Executive,Manufacturing,03-03-15,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,05-09-15,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Executive,Manufacturing,20-03-15,1-2 Years,Quality,400,1
Shendra-SEZ,Supervisor,Manufacturing,22-08-15,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Staff Trainee,Manufacturing,03-10-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,19-12-15,1-2 Years,Global Mfg,500,1
Daman-Bhimpore,Technician,Manufacturing,07-07-15,1-2 Years,Global Mfg,500,1
Daman-Kadaiya,Executive,Manufacturing,08-10-15,1-2 Years,Quality,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,05-09-14,6 Months to 1 Year,Quality,500,1
Daman-Bhimpore,Junior Executive,Manufacturing,20-08-15,1-2 Years,Global Mfg,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,05-12-14,6 Months to 1 Year,Global Mfg,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,15-01-15,6 Months to 1 Year,Quality,500,1
Daman-Bhimpore,Senior Executive,Manufacturing,26-05-14,3-6 Months,Quality,500,1
Shendra-SEZ,Senior Assistant,Manufacturing,15-09-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Senior Officer,Manufacturing,18-04-16,2-3 Years,Quality,500,1
Shendra-SEZ,Junior Executive,Manufacturing,20-06-14,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Senior Officer,Manufacturing,30-10-15,1-2 Years,Quality,500,1
Chikalthana,Senior VP - Manufacturing,Manufacturing,05-09-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,02-09-15,1-2 Years,Quality,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,06-05-15,1-2 Years,Global Mfg,500,1
Daman-Bhimpore,Junior Executive,Manufacturing,24-08-15,1-2 Years,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,08-04-15,1-2 Years,Quality,100,1
Daman-Kadaiya,Officer,Manufacturing,08-01-15,6 Months to 1 Year,Quality,100,1
Daman-Kadaiya,Senior Officer,Manufacturing,20-02-16,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,06-07-14,3-6 Months,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,11-05-15,1-2 Years,Global Mfg,100,1
Daman-Kadaiya,Officer,Manufacturing,31-07-14,3-6 Months,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,03-11-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,25-12-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,18-06-14,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Assistant Manager,Manufacturing,10-10-14,6 Months to 1 Year,Training Cell,100,1
Daman-Bhimpore,Technician,Manufacturing,09-04-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,31-03-15,1-2 Years,Global Mfg,100,1
Daman-Kadaiya,Executive,Manufacturing,05-04-15,1-2 Years,Quality,100,1
Daman-Kadaiya,Junior Executive,Manufacturing,21-03-15,1-2 Years,Quality,100,1
Shendra-SEZ,Senior Executive,Manufacturing,15-12-14,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Officer,Manufacturing,31-07-14,3-6 Months,Global Mfg,100,1
Daman-Kadaiya,Senior Officer,Manufacturing,02-06-15,1-2 Years,Quality,100,1
Shendra-SEZ,Assistant Manager,Manufacturing,16-07-16,2-3 Years,Quality,100,1
Shendra-SEZ,Assistant,Manufacturing,07-07-14,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,10-10-14,6 Months to 1 Year,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,26-03-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Vice President,Manufacturing,07-07-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,08-09-15,1-2 Years,Quality,100,1
Shendra-SEZ,Senior Officer,Manufacturing,28-05-16,2-3 Years,Projects,100,1
Shendra-SEZ,Assistant Manager,Manufacturing,06-02-15,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Technician,Manufacturing,01-11-14,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Technician,Manufacturing,31-07-14,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Technician,Manufacturing,31-07-14,3-6 Months,Global Mfg,200,1
Daman-Kadaiya,Assistant Manager,Manufacturing,23-02-15,6 Months to 1 Year,Quality,200,1
Daman-Kadaiya,Senior Officer,Manufacturing,31-07-14,3-6 Months,Quality,200,1
Chikalthana,Senior Executive,Manufacturing,11-04-15,1-2 Years,Training Cell,200,1
Shendra-SEZ,Assistant Manager,Manufacturing,06-07-15,1-2 Years,Global Mfg,200,1
Daman-Bhimpore,Executive,Manufacturing,15-05-15,1-2 Years,Quality,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,08-03-16,1-2 Years,Quality,200,1
Daman-Bhimpore,Technician,Manufacturing,31-07-14,3-6 Months,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,28-11-15,1-2 Years,Quality,200,1
Shendra-SEZ,Systems Engineer,Manufacturing,17-11-14,6 Months to 1 Year,CSS-IT,200,1
Daman-Kadaiya,Senior Officer,Manufacturing,31-07-15,1-2 Years,Quality,200,1
Daman-Kadaiya,Technician,Manufacturing,08-09-14,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,21-09-15,1-2 Years,Quality,300,1
Daman-Bhimpore,Executive,Manufacturing,13-11-15,1-2 Years,Quality,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,05-04-15,1-2 Years,Quality,300,1
Daman-Kadaiya,Officer,Manufacturing,20-04-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Junior Assistant,Manufacturing,14-02-15,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Officer,Manufacturing,19-01-15,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Officer,Manufacturing,05-04-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,SENIOR OFFICER,Manufacturing,28-05-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,07-08-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,24-11-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,12-09-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Assistant,Manufacturing,01-10-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Senior Executive,Manufacturing,05-10-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Assistant,Manufacturing,05-07-14,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,05-09-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Manager,Manufacturing,30-04-15,1-2 Years,Retainer,300,1
Daman-Bhimpore,Technician,Manufacturing,31-07-14,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,04-09-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,21-04-15,1-2 Years,Quality,300,1
Shendra-SEZ,Officer,Manufacturing,30-11-15,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,01-12-15,1-2 Years,Quality,300,1
Shendra-SEZ,Assistant Manager - Systems,Manufacturing,23-12-15,1-2 Years,CSS-IT,300,1
Shendra-SEZ,Assistant,Manufacturing,27-10-15,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,07-11-14,6 Months to 1 Year,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,05-04-15,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,07-11-14,6 Months to 1 Year,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,06-03-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Officer,Manufacturing,05-11-14,6 Months to 1 Year,Quality,400,1
Shendra-SEZ,Assistant Manager,Manufacturing,02-09-15,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,30-05-15,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Junior Executive,Manufacturing,09-06-15,1-2 Years,Quality,400,1
Daman-Bhimpore,Executive,Manufacturing,10-08-15,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,18-05-15,1-2 Years,Quality,400,1
Daman-Kadaiya,Technician,Manufacturing,01-02-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Senior Officer,Manufacturing,31-07-15,1-2 Years,Quality,400,1
Daman-Kadaiya,Senior Officer,Manufacturing,15-01-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Manager,Manufacturing,31-07-14,3-6 Months,Quality,400,1
Shendra-SEZ,Junior Executive,Manufacturing,24-09-15,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,23-02-15,6 Months to 1 Year,Quality,400,1
Daman-Kadaiya,Executive,Manufacturing,25-07-14,0-3 Months,Global Mfg,400,1
Daman-Bhimpore,Officer,Manufacturing,30-11-14,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Senior Officer,Manufacturing,24-12-14,6 Months to 1 Year,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,27-10-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Executive,Manufacturing,20-08-14,3-6 Months,Quality,500,1
Shendra-SEZ,Officer,Manufacturing,07-07-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,21-05-16,2-3 Years,Global Mfg,500,1
Shendra-SEZ,Senior Manager,Manufacturing,02-04-16,1-2 Years,Quality,500,1
Daman-Kadaiya,ASSISTANT MANAGER,Manufacturing,26-04-16,1-2 Years,Global Mfg,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-07-14,0-3 Months,Quality,500,1
Daman-Bhimpore,Officer,Manufacturing,13-09-15,1-2 Years,Quality,500,1
Daman-Bhimpore,Officer,Manufacturing,13-10-15,1-2 Years,Quality,500,1
Shendra-SEZ,Assistant Manager,Manufacturing,30-01-16,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Executive,Manufacturing,28-12-15,1-2 Years,Global Mfg,500,1
Daman-Kadaiya,Senior Officer,Manufacturing,24-09-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,04-06-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,15-01-16,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,28-11-15,1-2 Years,Quality,500,1
Chikalthana,General Manager,Manufacturing,06-02-16,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,12-10-15,1-2 Years,Quality,100,1
Shendra-SEZ,Officer,Manufacturing,04-06-15,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,21-10-15,1-2 Years,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,12-10-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,19-03-15,6 Months to 1 Year,Quality,100,1
Shendra-SEZ,Senior Officer,Manufacturing,28-12-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,12-01-16,1-2 Years,Quality,100,1
Daman-Kadaiya,Supervisor,Manufacturing,31-07-15,1-2 Years,Location HR,100,1
Shendra-SEZ,Senior Officer,Manufacturing,04-03-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,16-05-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,01-11-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,29-11-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,29-10-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,16-05-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,22-11-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,14-08-15,1-2 Years,Quality,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,26-02-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,02-11-15,1-2 Years,Quality,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,04-01-15,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Technician,Manufacturing,18-11-15,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Deputy General Manager,Manufacturing,20-06-15,6 Months to 1 Year,Quality,100,1
Daman-Bhimpore,Senior Executive,Manufacturing,12-09-14,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Officer,Manufacturing,24-03-15,6 Months to 1 Year,Quality,100,1
Shendra-SEZ,Senior Officer,Manufacturing,12-11-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,01-11-14,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,28-03-15,6 Months to 1 Year,Global Mfg,200,1
Shendra-SEZ,Officer,Manufacturing,12-02-15,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Senior Manager,Manufacturing,04-11-15,1-2 Years,Global Mfg,200,1
Daman-Bhimpore,Junior Executive,Manufacturing,11-12-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Assistant,Manufacturing,30-11-15,1-2 Years,Global Mfg,200,1
Daman-Kadaiya,Executive,Manufacturing,10-03-16,1-2 Years,Quality,200,1
Daman-Kadaiya,Officer,Manufacturing,18-10-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Assistant,Manufacturing,27-11-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Executive,Manufacturing,29-04-16,1-2 Years,CSS-IT,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,10-05-15,6 Months to 1 Year,Quality,200,1
Daman-Bhimpore,Manager,Manufacturing,25-04-16,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,31-05-16,1-2 Years,Quality,200,1
Shendra-SEZ,Officer,Manufacturing,30-09-14,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,13-07-16,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Jr Executive,Manufacturing,30-12-15,1-2 Years,Global Mfg,200,1
Daman-Bhimpore,Junior Executive,Manufacturing,15-06-16,1-2 Years,Quality,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,01-08-15,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,14-05-15,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,25-08-15,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,07-05-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,31-10-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,18-06-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,08-06-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,20-06-15,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,02-11-14,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,20-04-15,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,26-12-15,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,03-08-15,6 Months to 1 Year,Global Mfg,300,1
EOU Tab-Waluj,Assistant Manager,Manufacturing,22-06-16,1-2 Years,Training Cell,300,1
Shendra-SEZ,Manager,Manufacturing,30-06-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Manager,Manufacturing,20-02-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,13-01-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,24-11-15,1-2 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,17-07-15,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,21-02-15,3-6 Months,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,13-05-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Manager,Manufacturing,20-05-16,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Supervisor,Manufacturing,12-02-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Manager,Manufacturing,31-03-15,3-6 Months,Training Cell,300,1
Shendra-SEZ,Executive,Manufacturing,22-02-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,20-07-15,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,junior Assistant,Manufacturing,15-02-16,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Assistent,Manufacturing,07-08-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-03-15,3-6 Months,Global Mfg,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,23-04-15,3-6 Months,Global Mfg,400,1
Shendra-SEZ,Staff Trainee,Manufacturing,17-06-16,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Assistant,Manufacturing,05-06-15,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Senior Officer,Manufacturing,15-03-16,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,04-12-14,0-3 Months,Global Mfg,400,1
Shendra-SEZ,Junior Executive,Manufacturing,15-04-16,1-2 Years,CSS-IT,400,1
Shendra-SEZ,Executive,Manufacturing,05-05-16,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Assistant Manager,Manufacturing,27-11-15,1-2 Years,Training Cell,400,1
Shendra-SEZ,Assistant Manager,Manufacturing,03-10-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Technician,Manufacturing,08-02-16,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Trainee Technician,Manufacturing,22-12-15,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Technician,Manufacturing,30-06-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Technician,Manufacturing,12-10-15,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Officer,Manufacturing,15-11-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Assistant,Manufacturing,13-02-16,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Assistant,Manufacturing,21-09-15,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Junior Assistant,Manufacturing,03-03-15,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,04-04-15,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Junior Assistant,Manufacturing,29-03-16,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,20-01-15,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Junior Assistant,Manufacturing,12-10-15,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Senior Assistant,Manufacturing,18-05-16,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Assistant,Manufacturing,22-01-15,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Assistant,Manufacturing,11-09-15,6 Months to 1 Year,Global Mfg,500,1
Daman-Kadaiya,Executive,Manufacturing,09-10-15,6 Months to 1 Year,Global Mfg,500,1
Daman-Kadaiya,Junior Executive,Manufacturing,30-06-16,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Assistant,Manufacturing,25-05-16,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Senior Assistant,Manufacturing,12-08-15,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Assistant,Manufacturing,17-01-15,0-3 Months,Global Mfg,500,1
