m1,m2,m3,m4,m5,m6,m7,Left,value
Delhi,Businees Development Executive,Metal,01-06-16,00-01 yrs,IT,123,0,1
Delhi,Businees Development Executive,Power,01-10-16,01-02 yrs,Finance,257,0,1
Assam,Territory Manager,Retail,01-12-16,01-02 yrs,Sales,172,0,1
Delhi,Territory Manager,Retail,01-08-16,00-01 yrs,Sales,289,0,1
Assam,Administration Executive,Power,01-02-16,10+ yrs,Marketing,271,0,1
Delhi,Corporate Role,Finance,01-10-16,02-05 yrs,Sales,111,0,1
Assam,Territory Manager,Metal,01-07-16,05-10 yrs,Marketing,244,0,1
Jharkhand,Territory Manager,Metal,01-08-16,00-01 yrs,Marketing,143,0,1
Delhi,Associate,Metal,01-02-16,00-01 yrs,Finance,210,0,1
Jharkhand,Corporate Role,Finance,01-01-16,01-02 yrs,Finance,168,0,1
Jharkhand,Territory Manager,Telecom,01-10-16,01-02 yrs,Marketing,222,0,1
Jharkhand,Associate,Telecom,01-03-16,02-05 yrs,Sales,231,0,1
Jharkhand,Relationship Manager,Retail,01-04-16,01-02 yrs,Sales,124,0,1
Assam,Businees Development Executive,Metal,01-09-16,00-01 yrs,Marketing,242,0,1
Assam,Relationship Manager,Infra,01-11-16,00-01 yrs,Sales,284,0,1
Jharkhand,Associate,Retail,01-11-16,01-02 yrs,Sales,279,0,1
Assam,Businees Development Executive,Metal,01-05-16,10+ yrs,HR,201,0,1
Assam,Relationship Manager,Retail,01-03-16,01-02 yrs,Finance,190,0,1
Jharkhand,Associate,Finance,01-06-16,10+ yrs,Sales,117,0,1
Jharkhand,Sales Executive,Power,01-01-16,02-05 yrs,Support,222,0,1
Jharkhand,Sales Executive,Telecom,01-08-16,00-01 yrs,IT,232,0,1
Jharkhand,Businees Development Executive,Metal,01-09-16,01-02 yrs,Finance,164,0,1
Delhi,Relationship Manager,Finance,01-08-16,02-05 yrs,HR,171,0,1
Delhi,Relationship Manager,Power,01-05-16,00-01 yrs,Sales,189,0,1
Assam,Businees Development Executive,Finance,01-08-16,02-05 yrs,Marketing,261,0,1
Assam,Corporate Role,Metal,01-03-16,01-02 yrs,Support,284,0,1
Delhi,Administration Executive,Telecom,01-11-16,01-02 yrs,Finance,163,0,1
Delhi,Administration Executive,Finance,01-01-16,10+ yrs,Finance,296,0,1
Assam,Associate,Metal,01-11-16,02-05 yrs,Sales,147,0,1
Delhi,Sales Executive,Retail,01-12-16,00-01 yrs,HR,241,0,1
Delhi,Associate,Finance,01-04-16,00-01 yrs,Sales,221,0,1
Delhi,Associate,Retail,01-01-16,10+ yrs,Sales,106,0,1
Delhi,Relationship Manager,Retail,01-02-16,02-05 yrs,Marketing,222,0,1
Delhi,Administration Executive,Infra,01-11-16,01-02 yrs,IT,110,0,1
Jharkhand,Associate,Retail,01-04-16,01-02 yrs,HR,102,0,1
Assam,Businees Development Executive,Retail,01-02-16,01-02 yrs,IT,297,0,1
Delhi,Relationship Manager,Retail,01-07-16,05-10 yrs,HR,181,0,1
Delhi,Territory Manager,Retail,01-04-16,01-02 yrs,Sales,280,0,1
Delhi,Associate,Retail,01-08-16,02-05 yrs,Support,133,0,1
Assam,Corporate Role,Metal,01-07-16,05-10 yrs,Sales,229,0,1
Delhi,Relationship Manager,Retail,01-02-16,00-01 yrs,Sales,201,0,1
Jharkhand,Administration Executive,Finance,01-01-16,05-10 yrs,Finance,154,0,1
Delhi,Associate,Retail,01-05-16,00-01 yrs,Finance,101,0,1
Jharkhand,Territory Manager,Finance,01-02-16,01-02 yrs,Finance,176,0,1
Jharkhand,Territory Manager,Finance,01-05-16,10+ yrs,Sales,260,0,1
Assam,Corporate Role,Finance,01-09-16,00-01 yrs,Sales,266,0,1
Delhi,Sales Executive,Finance,01-09-16,02-05 yrs,Finance,268,0,1
Assam,Relationship Manager,Power,01-09-16,01-02 yrs,Sales,289,0,1
Jharkhand,Relationship Manager,Retail,01-01-16,01-02 yrs,HR,114,0,1
Jharkhand,Associate,Finance,01-09-16,00-01 yrs,Marketing,238,0,1
Jharkhand,Relationship Manager,Finance,01-10-16,01-02 yrs,Marketing,130,0,1
Delhi,Associate,Telecom,01-10-16,00-01 yrs,Finance,282,0,1
Assam,Sales Executive,Finance,01-10-16,05-10 yrs,Support,263,0,1
Jharkhand,Relationship Manager,Metal,01-05-16,02-05 yrs,Marketing,155,0,1
Delhi,Associate,Finance,01-12-16,00-01 yrs,Marketing,266,0,1
Assam,Territory Manager,Infra,01-03-16,01-02 yrs,IT,205,0,1
Assam,Relationship Manager,Infra,01-09-16,00-01 yrs,Marketing,297,0,1
Assam,Sales Executive,Finance,01-01-16,02-05 yrs,HR,165,0,1
Jharkhand,Relationship Manager,Metal,01-08-16,01-02 yrs,IT,145,0,1
Assam,Sales Executive,Telecom,01-12-16,00-01 yrs,Marketing,145,0,1
Delhi,Relationship Manager,Metal,01-12-16,00-01 yrs,Finance,256,0,1
Assam,Relationship Manager,Telecom,01-06-16,01-02 yrs,Sales,299,0,1
Jharkhand,Relationship Manager,Finance,01-08-16,01-02 yrs,Marketing,109,0,1
Assam,Businees Development Executive,Metal,01-05-16,00-01 yrs,Marketing,117,0,1
Delhi,Territory Manager,Metal,01-04-16,00-01 yrs,Marketing,143,0,1
Assam,Sales Executive,Finance,01-10-16,01-02 yrs,Finance,253,0,1
Assam,Corporate Role,Power,01-11-16,10+ yrs,Sales,254,0,1
Delhi,Administration Executive,Infra,01-03-16,02-05 yrs,Finance,178,0,1
Delhi,Businees Development Executive,Metal,01-09-16,00-01 yrs,HR,164,0,1
Delhi,Sales Executive,Retail,01-06-16,00-01 yrs,Sales,292,0,1
Jharkhand,Businees Development Executive,Telecom,01-02-16,01-02 yrs,Marketing,119,0,1
Assam,Administration Executive,Retail,01-04-16,05-10 yrs,Finance,109,0,1
Jharkhand,Territory Manager,Telecom,01-07-16,10+ yrs,Sales,243,0,1
Delhi,Associate,Finance,01-08-16,00-01 yrs,Sales,201,0,1
Delhi,Associate,Finance,01-09-16,00-01 yrs,Sales,130,0,1
Delhi,Businees Development Executive,Finance,01-02-16,05-10 yrs,Sales,227,0,1
Delhi,Associate,Infra,01-03-16,02-05 yrs,HR,143,0,1
Assam,Administration Executive,Finance,01-02-16,01-02 yrs,Finance,153,0,1
Jharkhand,Administration Executive,Metal,01-06-16,00-01 yrs,Finance,100,0,1
Delhi,Associate,Finance,01-10-16,00-01 yrs,Sales,136,0,1
Jharkhand,Administration Executive,Metal,01-12-16,01-02 yrs,Finance,191,0,1
Delhi,Relationship Manager,Finance,01-04-16,00-01 yrs,Sales,244,0,1
Delhi,Relationship Manager,Retail,01-02-16,05-10 yrs,HR,240,0,1
Jharkhand,Associate,Power,01-06-16,10+ yrs,Sales,162,0,1
Delhi,Associate,Metal,01-03-16,10+ yrs,Sales,192,0,1
Delhi,Businees Development Executive,Finance,01-01-16,00-01 yrs,IT,127,0,1
Delhi,Businees Development Executive,Finance,01-05-16,01-02 yrs,Sales,125,0,1
Delhi,Sales Executive,Infra,01-01-16,01-02 yrs,HR,185,0,1
Delhi,Associate,Infra,01-01-16,01-02 yrs,Finance,150,0,1
Assam,Associate,Retail,01-08-16,02-05 yrs,Marketing,202,0,1
Delhi,Associate,Retail,01-06-16,10+ yrs,Sales,231,0,1
Delhi,Associate,Retail,01-09-16,01-02 yrs,HR,296,0,1
Assam,Sales Executive,Finance,01-01-16,00-01 yrs,Sales,174,0,1
Assam,Sales Executive,Telecom,01-05-16,10+ yrs,Marketing,292,0,1
Delhi,Businees Development Executive,Power,01-06-16,00-01 yrs,IT,286,0,1
Delhi,Sales Executive,Metal,01-06-16,01-02 yrs,Marketing,253,0,1
Jharkhand,Corporate Role,Finance,01-03-16,05-10 yrs,Sales,240,0,1
Delhi,Relationship Manager,Power,01-05-16,01-02 yrs,Marketing,175,0,1
Delhi,Relationship Manager,Power,01-01-16,01-02 yrs,Finance,239,0,1
Jharkhand,Territory Manager,Metal,01-07-16,01-02 yrs,IT,234,0,1
Delhi,Relationship Manager,Power,01-07-16,01-02 yrs,Support,103,0,1
Assam,Businees Development Executive,Telecom,01-01-16,00-01 yrs,Sales,190,0,1
Delhi,Territory Manager,Retail,01-11-16,00-01 yrs,Sales,260,0,1
Delhi,Sales Executive,Power,01-07-16,01-02 yrs,Finance,283,0,1
Jharkhand,Corporate Role,Retail,01-03-16,01-02 yrs,Marketing,241,0,1
Jharkhand,Administration Executive,Retail,01-03-16,01-02 yrs,Marketing,256,0,1
Delhi,Corporate Role,Infra,01-02-16,02-05 yrs,Sales,108,0,1
Jharkhand,Sales Executive,Metal,01-10-16,01-02 yrs,Finance,142,0,1
Delhi,Territory Manager,Finance,01-07-16,01-02 yrs,Support,209,0,1
Jharkhand,Sales Executive,Power,01-05-16,10+ yrs,Finance,264,0,1
Assam,Relationship Manager,Infra,01-06-16,00-01 yrs,Marketing,119,0,1
Jharkhand,Administration Executive,Retail,01-05-16,00-01 yrs,Sales,148,0,1
Assam,Relationship Manager,Metal,01-01-16,00-01 yrs,Sales,206,0,1
Delhi,Corporate Role,Telecom,01-07-16,00-01 yrs,Support,115,0,1
Assam,Corporate Role,Finance,01-03-16,00-01 yrs,Marketing,136,0,1
Delhi,Sales Executive,Finance,01-09-16,00-01 yrs,Finance,184,0,1
Jharkhand,Relationship Manager,Metal,01-01-16,02-05 yrs,Sales,121,0,1
Jharkhand,Corporate Role,Metal,01-08-16,02-05 yrs,Finance,268,0,1
Delhi,Relationship Manager,Power,01-10-16,00-01 yrs,HR,207,0,1
Assam,Relationship Manager,Power,01-05-16,00-01 yrs,Sales,224,0,1
Delhi,Relationship Manager,Retail,01-11-16,00-01 yrs,Finance,151,0,1
Delhi,Associate,Finance,01-11-16,00-01 yrs,Support,177,0,1
Delhi,Associate,Retail,01-11-16,01-02 yrs,Finance,273,0,1
Jharkhand,Associate,Retail,01-09-16,01-02 yrs,Marketing,130,0,1
Assam,Corporate Role,Power,01-02-16,10+ yrs,HR,139,0,1
Jharkhand,Sales Executive,Telecom,01-02-16,01-02 yrs,Sales,146,0,1
Delhi,Territory Manager,Power,01-04-16,10+ yrs,Sales,180,0,1
Jharkhand,Administration Executive,Metal,01-07-16,00-01 yrs,HR,205,0,1
Delhi,Associate,Telecom,01-11-16,10+ yrs,IT,157,0,1
Jharkhand,Sales Executive,Retail,01-05-16,01-02 yrs,Sales,297,0,1
Assam,Administration Executive,Metal,01-10-16,00-01 yrs,IT,197,0,1
Delhi,Businees Development Executive,Retail,01-02-16,01-02 yrs,Sales,170,0,1
Delhi,Sales Executive,Finance,01-07-16,05-10 yrs,HR,155,0,1
Jharkhand,Territory Manager,Power,01-10-16,05-10 yrs,Support,114,0,1
Jharkhand,Sales Executive,Metal,01-05-16,00-01 yrs,Finance,291,0,1
Jharkhand,Territory Manager,Finance,01-10-16,00-01 yrs,HR,143,0,1
Jharkhand,Sales Executive,Retail,01-01-16,01-02 yrs,Finance,102,0,1
Delhi,Associate,Finance,01-06-16,10+ yrs,Sales,268,0,1
Jharkhand,Territory Manager,Finance,01-11-16,00-01 yrs,Marketing,274,0,1
Assam,Corporate Role,Metal,01-08-16,01-02 yrs,Finance,232,0,1
Delhi,Relationship Manager,Retail,01-06-16,00-01 yrs,Marketing,169,0,1
Jharkhand,Sales Executive,Telecom,01-12-16,05-10 yrs,Finance,170,0,1
Delhi,Associate,Power,01-11-16,02-05 yrs,Sales,287,0,1
Jharkhand,Sales Executive,Infra,01-03-16,02-05 yrs,Marketing,255,0,1
Jharkhand,Territory Manager,Metal,01-10-16,00-01 yrs,Finance,156,0,1
Assam,Relationship Manager,Metal,01-05-16,05-10 yrs,Marketing,281,0,1
Jharkhand,Relationship Manager,Telecom,01-12-16,01-02 yrs,Finance,176,0,1
Delhi,Territory Manager,Retail,01-01-16,00-01 yrs,Sales,246,0,1
Delhi,Associate,Power,01-06-16,01-02 yrs,Sales,181,0,1
Assam,Associate,Infra,01-03-16,01-02 yrs,Sales,268,0,1
Assam,Businees Development Executive,Power,01-04-16,00-01 yrs,Sales,266,0,1
Assam,Administration Executive,Metal,01-06-16,02-05 yrs,Finance,196,0,1
Assam,Territory Manager,Telecom,01-12-16,00-01 yrs,HR,166,1,0
Jharkhand,Relationship Manager,Infra,01-11-16,01-02 yrs,Marketing,238,1,0
Assam,Associate,Finance,01-02-16,01-02 yrs,Finance,296,1,0
Delhi,Sales Executive,Retail,01-02-16,00-01 yrs,HR,198,1,0
Assam,Corporate Role,Power,01-12-16,10+ yrs,Marketing,127,1,0
Jharkhand,Administration Executive,Metal,01-06-16,00-01 yrs,Sales,245,1,0
Assam,Territory Manager,Finance,01-04-16,00-01 yrs,Support,219,1,0
Assam,Territory Manager,Finance,01-12-16,00-01 yrs,Sales,161,1,0
Delhi,Territory Manager,Metal,01-10-16,00-01 yrs,Marketing,193,1,0
Delhi,Administration Executive,Retail,01-12-16,05-10 yrs,Marketing,200,1,0
Delhi,Businees Development Executive,Retail,01-03-16,00-01 yrs,Support,152,1,0
Jharkhand,Businees Development Executive,Telecom,01-07-16,00-01 yrs,Finance,219,1,0
Jharkhand,Relationship Manager,Metal,01-07-16,02-05 yrs,Finance,167,1,0
Jharkhand,Relationship Manager,Metal,01-09-16,00-01 yrs,Sales,158,1,0
Jharkhand,Administration Executive,Telecom,01-06-16,01-02 yrs,Sales,206,1,0
Delhi,Associate,Infra,01-07-16,02-05 yrs,Sales,271,1,0
Assam,Associate,Infra,01-09-16,01-02 yrs,Support,272,1,0
Delhi,Businees Development Executive,Retail,01-06-16,00-01 yrs,Sales,203,1,0
Jharkhand,Businees Development Executive,Retail,01-03-16,00-01 yrs,Sales,192,1,0
Jharkhand,Relationship Manager,Finance,01-08-16,00-01 yrs,IT,136,1,0
Jharkhand,Sales Executive,Finance,01-08-16,02-05 yrs,IT,147,1,0
Delhi,Relationship Manager,Infra,01-01-16,01-02 yrs,Finance,184,1,0
Delhi,Associate,Finance,01-08-16,01-02 yrs,HR,203,1,0
Jharkhand,Sales Executive,Metal,01-05-16,02-05 yrs,Marketing,144,1,0
Jharkhand,Corporate Role,Retail,01-09-16,00-01 yrs,HR,175,1,0
Jharkhand,Businees Development Executive,Finance,01-03-16,00-01 yrs,Sales,172,1,0
Delhi,Businees Development Executive,Metal,01-02-16,02-05 yrs,Finance,236,1,0
Delhi,Corporate Role,Power,01-03-16,00-01 yrs,HR,247,1,0
Jharkhand,Territory Manager,Retail,01-07-16,00-01 yrs,Sales,265,1,0
Jharkhand,Businees Development Executive,Finance,01-11-16,00-01 yrs,Marketing,295,1,0
Jharkhand,Businees Development Executive,Finance,01-05-16,00-01 yrs,Sales,132,1,0
Jharkhand,Administration Executive,Power,01-09-16,02-05 yrs,Marketing,239,1,0
Jharkhand,Associate,Retail,01-12-16,10+ yrs,Sales,293,1,0
Delhi,Associate,Telecom,01-03-16,01-02 yrs,Sales,292,1,0
Jharkhand,Associate,Retail,01-12-16,01-02 yrs,Finance,267,1,0
Jharkhand,Relationship Manager,Retail,01-11-16,10+ yrs,Marketing,165,1,0
Jharkhand,Businees Development Executive,Retail,01-06-16,01-02 yrs,IT,185,1,0
Jharkhand,Relationship Manager,Metal,01-04-16,01-02 yrs,IT,267,1,0
Jharkhand,Administration Executive,Telecom,01-11-16,00-01 yrs,Finance,283,1,0
Jharkhand,Territory Manager,Finance,01-04-16,10+ yrs,Sales,114,1,0
Jharkhand,Associate,Finance,01-07-16,00-01 yrs,Finance,193,1,0
Jharkhand,Associate,Metal,01-07-16,02-05 yrs,Sales,163,1,0
Jharkhand,Associate,Finance,01-05-16,10+ yrs,Marketing,145,1,0
Delhi,Associate,Retail,01-07-16,10+ yrs,IT,223,1,0
Delhi,Relationship Manager,Metal,01-08-16,01-02 yrs,Marketing,299,1,0
Jharkhand,Associate,Power,01-01-16,01-02 yrs,Finance,162,1,0
Assam,Relationship Manager,Infra,01-02-16,00-01 yrs,HR,172,1,0
Delhi,Associate,Metal,01-06-16,05-10 yrs,Support,262,1,0
Assam,Administration Executive,Retail,01-09-16,05-10 yrs,Sales,282,1,0
Jharkhand,Corporate Role,Finance,01-10-16,01-02 yrs,Sales,242,1,0
Delhi,Administration Executive,Retail,01-09-16,00-01 yrs,HR,223,1,0
Assam,Territory Manager,Telecom,01-10-16,10+ yrs,Support,271,1,0
Assam,Relationship Manager,Retail,01-12-16,00-01 yrs,Sales,288,1,0
Delhi,Relationship Manager,Retail,01-08-16,00-01 yrs,Finance,273,1,0
Assam,Relationship Manager,Finance,01-01-16,02-05 yrs,Sales,275,1,0
Assam,Territory Manager,Finance,01-03-16,01-02 yrs,Support,150,1,0
Assam,Territory Manager,Retail,01-12-16,01-02 yrs,Marketing,299,1,0
Jharkhand,Administration Executive,Retail,01-07-16,10+ yrs,Sales,126,1,0
Jharkhand,Associate,Telecom,01-04-16,00-01 yrs,Sales,226,1,0
Delhi,Territory Manager,Finance,01-10-16,01-02 yrs,Sales,154,1,0
Jharkhand,Sales Executive,Metal,01-12-16,02-05 yrs,HR,277,1,0
Jharkhand,Businees Development Executive,Infra,01-07-16,02-05 yrs,IT,218,1,0
Delhi,Territory Manager,Finance,01-03-16,02-05 yrs,HR,157,1,0
Assam,Businees Development Executive,Power,01-11-16,01-02 yrs,Finance,150,1,0
Jharkhand,Relationship Manager,Infra,01-12-16,00-01 yrs,Finance,292,1,0
Assam,Territory Manager,Metal,01-06-16,02-05 yrs,IT,297,1,0
Assam,Businees Development Executive,Finance,01-03-16,01-02 yrs,Finance,286,1,0
Jharkhand,Corporate Role,Metal,01-06-16,01-02 yrs,Sales,224,1,0
Delhi,Relationship Manager,Retail,01-06-16,05-10 yrs,Marketing,274,1,0
Assam,Associate,Retail,01-12-16,05-10 yrs,Finance,151,1,0
Jharkhand,Associate,Metal,01-06-16,00-01 yrs,Sales,211,1,0
Delhi,Territory Manager,Metal,01-06-16,10+ yrs,Marketing,142,1,0
Jharkhand,Associate,Finance,01-02-16,00-01 yrs,Finance,193,1,0
Delhi,Sales Executive,Infra,01-11-16,00-01 yrs,Finance,127,1,0
Assam,Associate,Telecom,01-05-16,00-01 yrs,Marketing,261,1,0
Delhi,Corporate Role,Retail,01-10-16,05-10 yrs,Marketing,112,1,0
Jharkhand,Businees Development Executive,Retail,01-05-16,00-01 yrs,Sales,217,1,0
Jharkhand,Sales Executive,Telecom,01-08-16,02-05 yrs,Sales,118,1,0
Assam,Administration Executive,Finance,01-12-16,00-01 yrs,HR,271,1,0
Assam,Relationship Manager,Infra,01-08-16,05-10 yrs,Finance,242,1,0
Assam,Administration Executive,Metal,01-04-16,01-02 yrs,Sales,122,1,0
Delhi,Corporate Role,Finance,01-09-16,00-01 yrs,HR,218,1,0
Delhi,Associate,Retail,01-06-16,05-10 yrs,Sales,263,1,0
Jharkhand,Corporate Role,Infra,01-01-16,00-01 yrs,Sales,298,1,0
Assam,Territory Manager,Retail,01-03-16,01-02 yrs,Marketing,241,1,0
Assam,Associate,Finance,01-03-16,05-10 yrs,IT,213,1,0
Jharkhand,Associate,Finance,01-12-16,02-05 yrs,Sales,176,1,0
Jharkhand,Administration Executive,Infra,01-03-16,00-01 yrs,Support,289,1,0
Delhi,Corporate Role,Telecom,01-12-16,01-02 yrs,IT,257,1,0
Delhi,Administration Executive,Metal,01-09-16,10+ yrs,Sales,255,1,0
Delhi,Relationship Manager,Finance,01-03-16,10+ yrs,Sales,299,1,0
Jharkhand,Businees Development Executive,Telecom,01-02-16,00-01 yrs,Sales,281,1,0
Delhi,Associate,Infra,01-06-16,00-01 yrs,IT,262,1,0
Jharkhand,Sales Executive,Retail,01-12-16,02-05 yrs,Sales,222,1,0
Delhi,Associate,Finance,01-10-16,02-05 yrs,Support,105,1,0
Assam,Administration Executive,Metal,01-10-16,00-01 yrs,Sales,211,1,0
Assam,Associate,Finance,01-06-16,02-05 yrs,HR,292,1,0
Delhi,Businees Development Executive,Infra,01-04-16,02-05 yrs,Sales,117,1,0
Delhi,Associate,Infra,01-06-16,01-02 yrs,Marketing,112,1,0
Assam,Associate,Retail,01-04-16,00-01 yrs,Marketing,280,1,0
Jharkhand,Associate,Finance,01-07-16,01-02 yrs,Support,218,1,0
Assam,Businees Development Executive,Retail,01-08-16,01-02 yrs,Sales,201,1,0
Delhi,Associate,Finance,01-10-16,10+ yrs,IT,250,1,0
Jharkhand,Sales Executive,Finance,01-05-16,00-01 yrs,Sales,270,1,0
Delhi,Sales Executive,Power,01-10-16,00-01 yrs,IT,178,1,0
Jharkhand,Relationship Manager,Metal,01-10-16,01-02 yrs,Sales,224,1,0
Delhi,Administration Executive,Finance,01-02-16,01-02 yrs,HR,145,1,0
Assam,Associate,Power,01-12-16,01-02 yrs,Marketing,273,1,0
Assam,Sales Executive,Infra,01-06-16,02-05 yrs,Support,288,1,0
Jharkhand,Corporate Role,Retail,01-01-16,01-02 yrs,Finance,179,1,0
Assam,Associate,Telecom,01-03-16,01-02 yrs,Finance,225,1,0
Delhi,Businees Development Executive,Metal,01-06-16,01-02 yrs,Sales,194,1,0
Delhi,Territory Manager,Retail,01-01-16,05-10 yrs,Marketing,286,1,0
Assam,Territory Manager,Metal,01-01-16,00-01 yrs,Finance,119,1,0
Delhi,Relationship Manager,Finance,01-04-16,05-10 yrs,Finance,223,1,0
Delhi,Businees Development Executive,Finance,01-04-16,02-05 yrs,Finance,278,1,0
Jharkhand,Corporate Role,Power,01-01-16,01-02 yrs,Sales,126,1,0
Delhi,Associate,Telecom,01-09-16,05-10 yrs,IT,129,1,0
Delhi,Sales Executive,Finance,01-09-16,02-05 yrs,Finance,225,1,0
Delhi,Sales Executive,Infra,01-11-16,02-05 yrs,Sales,122,1,0
Delhi,Associate,Infra,01-07-16,02-05 yrs,Marketing,276,1,0
Delhi,Associate,Metal,01-06-16,05-10 yrs,Sales,123,1,0
Delhi,Relationship Manager,Metal,01-04-16,02-05 yrs,HR,106,1,0
Jharkhand,Sales Executive,Retail,01-09-16,01-02 yrs,Sales,285,1,0
Assam,Relationship Manager,Finance,01-08-16,10+ yrs,HR,248,1,0
Jharkhand,Territory Manager,Metal,01-07-16,05-10 yrs,Sales,158,1,0
Assam,Associate,Infra,01-05-16,01-02 yrs,Finance,217,1,0
Jharkhand,Administration Executive,Infra,01-09-16,00-01 yrs,IT,203,1,0
Jharkhand,Administration Executive,Retail,01-06-16,01-02 yrs,Sales,187,1,0
Delhi,Corporate Role,Finance,01-07-16,01-02 yrs,Marketing,215,1,0
Jharkhand,Territory Manager,Metal,01-06-16,00-01 yrs,Marketing,237,1,0
Delhi,Businees Development Executive,Finance,01-03-16,00-01 yrs,IT,272,1,0
Assam,Relationship Manager,Finance,01-07-16,00-01 yrs,Sales,280,1,0
Jharkhand,Territory Manager,Retail,01-04-16,00-01 yrs,Finance,134,1,0
Jharkhand,Relationship Manager,Retail,01-10-16,10+ yrs,Sales,211,1,0
Delhi,Relationship Manager,Power,01-08-16,10+ yrs,Finance,217,1,0
Delhi,Administration Executive,Infra,01-11-16,01-02 yrs,Finance,188,1,0
Assam,Corporate Role,Metal,01-12-16,02-05 yrs,Finance,138,1,0
Jharkhand,Relationship Manager,Metal,01-01-16,00-01 yrs,Sales,130,1,0
Jharkhand,Sales Executive,Retail,01-02-16,10+ yrs,Finance,225,1,0
Assam,Sales Executive,Metal,01-05-16,00-01 yrs,Finance,166,1,0
Assam,Sales Executive,Retail,01-02-16,01-02 yrs,Finance,289,1,0
Assam,Territory Manager,Finance,01-08-16,00-01 yrs,Support,221,1,0
Jharkhand,Territory Manager,Metal,01-03-16,10+ yrs,Marketing,211,1,0
Jharkhand,Businees Development Executive,Infra,01-08-16,00-01 yrs,IT,172,1,0
Jharkhand,Businees Development Executive,Retail,01-07-16,01-02 yrs,IT,157,1,0
Assam,Relationship Manager,Retail,01-06-16,00-01 yrs,Marketing,235,1,0
Delhi,Businees Development Executive,Telecom,01-08-16,00-01 yrs,Marketing,103,1,0
Delhi,Administration Executive,Power,01-02-16,00-01 yrs,Sales,127,1,0
Jharkhand,Associate,Retail,01-12-16,10+ yrs,Sales,138,1,0
Delhi,Businees Development Executive,Retail,01-07-16,00-01 yrs,Marketing,226,1,0
Jharkhand,Corporate Role,Finance,01-06-16,02-05 yrs,HR,139,1,0
Assam,Relationship Manager,Retail,01-08-16,01-02 yrs,Support,241,1,0
Jharkhand,Businees Development Executive,Retail,01-03-16,02-05 yrs,Support,244,1,0
Jharkhand,Relationship Manager,Retail,01-09-16,10+ yrs,Sales,149,1,0
Jharkhand,Sales Executive,Power,01-09-16,01-02 yrs,Finance,145,1,0
Assam,Territory Manager,Retail,01-05-16,10+ yrs,Marketing,154,1,0
Assam,Sales Executive,Retail,01-09-16,00-01 yrs,Marketing,147,1,0
Assam,Sales Executive,Retail,01-09-16,00-01 yrs,IT,290,1,0
Delhi,Corporate Role,Telecom,01-09-16,01-02 yrs,Support,128,1,0
Jharkhand,Territory Manager,Telecom,01-06-16,01-02 yrs,IT,158,1,0
Delhi,Corporate Role,Infra,01-04-16,05-10 yrs,Sales,267,1,0
Jharkhand,Associate,Retail,01-11-16,00-01 yrs,Sales,111,1,0
Jharkhand,Associate,Metal,01-08-16,00-01 yrs,Finance,109,1,0
Jharkhand,Corporate Role,Metal,01-09-16,01-02 yrs,IT,269,1,0
Assam,Sales Executive,Retail,01-07-16,10+ yrs,Marketing,176,1,0
Assam,Corporate Role,Metal,01-12-16,05-10 yrs,HR,234,1,0
Jharkhand,Territory Manager,Retail,01-12-16,01-02 yrs,Finance,144,1,0
Jharkhand,Businees Development Executive,Retail,01-07-16,01-02 yrs,HR,291,1,0
Assam,Corporate Role,Finance,01-02-16,02-05 yrs,Finance,154,1,0
Assam,Relationship Manager,Finance,01-10-16,05-10 yrs,IT,165,1,0
Assam,Businees Development Executive,Power,01-05-16,02-05 yrs,Finance,277,1,0
Assam,Administration Executive,Finance,01-05-16,00-01 yrs,Sales,221,1,0
Delhi,Territory Manager,Finance,01-10-16,02-05 yrs,Sales,116,1,0
Delhi,Territory Manager,Retail,01-07-16,00-01 yrs,HR,195,1,0
Assam,Associate,Power,01-10-16,01-02 yrs,Finance,261,1,0
Delhi,Relationship Manager,Metal,01-01-16,00-01 yrs,Sales,130,1,0
Jharkhand,Relationship Manager,Telecom,01-11-16,00-01 yrs,Finance,295,1,0
Delhi,Associate,Retail,01-02-16,00-01 yrs,Marketing,215,1,0
Jharkhand,Territory Manager,Power,01-05-16,00-01 yrs,Support,252,1,0
Delhi,Businees Development Executive,Retail,01-02-16,00-01 yrs,Marketing,249,1,0
Assam,Relationship Manager,Finance,01-10-16,00-01 yrs,Sales,194,1,0
Jharkhand,Territory Manager,Power,01-01-16,01-02 yrs,IT,194,1,0
Assam,Administration Executive,Metal,01-11-16,05-10 yrs,Sales,226,1,0
Jharkhand,Associate,Telecom,01-06-16,00-01 yrs,Sales,300,1,0
Delhi,Territory Manager,Telecom,01-11-16,02-05 yrs,Finance,192,1,0
Assam,Relationship Manager,Retail,01-05-16,02-05 yrs,HR,227,1,0
Delhi,Corporate Role,Metal,01-03-16,01-02 yrs,IT,274,1,0
Jharkhand,Territory Manager,Power,01-03-16,01-02 yrs,Marketing,194,1,0
Jharkhand,Relationship Manager,Retail,01-05-16,00-01 yrs,Sales,164,1,0
Jharkhand,Administration Executive,Telecom,01-12-16,01-02 yrs,Marketing,211,1,0
Delhi,Corporate Role,Finance,01-04-16,02-05 yrs,Sales,261,1,0
Delhi,Associate,Finance,01-05-16,02-05 yrs,Support,241,1,0
Assam,Sales Executive,Metal,01-01-16,02-05 yrs,Finance,104,1,0
Jharkhand,Businees Development Executive,Telecom,01-01-16,01-02 yrs,HR,233,1,0
Delhi,Businees Development Executive,Metal,01-04-16,02-05 yrs,Finance,246,1,0
